feelings_life,aboriginal,vis_minority,marital_status,education,self_rated_health,self_rated_mental_health,income_family,income_respondent,number_total_children_intention,is_male,age
9,No,Not a visible minority,Married,6,4,5,6,3,0,0,47.8
9,No,Not a visible minority,Divorced,6,4,3,4,4,0,0,44.3
7,No,Not a visible minority,"Single, never married",2,4,4,2,2,2,1,36.3
8,No,Not a visible minority,Divorced,3,5,5,1,1,0,1,52.1
9,No,Not a visible minority,Married,6,3,4,5,4,2,1,39.7
6,No,Not a visible minority,"Single, never married",4,3,3,2,2,0,1,39.9
8,No,Not a visible minority,Living common-law,3,3,3,2,2,2,1,30.7
9,No,Not a visible minority,Married,3,3,4,3,2,0,1,51.7
10,Yes,Not a visible minority,"Single, never married",2,5,5,3,3,0,1,24.5
9,No,Not a visible minority,Living common-law,3,4,4,4,1,0,1,44.6
9,No,Not a visible minority,Married,4,4,5,5,3,4,1,28.6
8,Yes,Not a visible minority,Married,5,5,5,6,4,0,1,37.7
8,No,Not a visible minority,Divorced,3,3,3,3,3,0,0,42
9,No,Not a visible minority,Married,4,4,4,6,6,0,1,47.1
5,No,Not a visible minority,"Single, never married",4,1,1,6,2,2,0,32.9
7,No,Not a visible minority,"Single, never married",2,4,3,5,1,0,1,22.7
10,No,Not a visible minority,Married,7,4,5,6,4,0,1,53.7
10,No,Not a visible minority,Married,6,5,5,6,4,3,1,38.3
7,No,Not a visible minority,Widowed,6,4,4,3,3,0,0,49.4
10,No,Not a visible minority,Married,1,4,5,2,1,3,1,36.1
7,No,Not a visible minority,Divorced,7,5,3,4,4,0,0,42.8
7,No,Not a visible minority,Married,3,4,5,2,2,4,0,27.4
8,No,Visible minority,"Single, never married",3,3,5,3,3,1,1,42.3
9,Yes,Not a visible minority,Living common-law,1,3,4,2,1,1,1,22
8,No,Not a visible minority,Married,2,5,5,5,3,0,0,34.5
9,No,Not a visible minority,Living common-law,3,4,3,6,4,0,1,33.1
9,No,Not a visible minority,Living common-law,3,4,4,5,2,2,0,26.3
7,No,Not a visible minority,Married,6,4,4,5,2,2,0,32.6
10,No,Not a visible minority,Married,2,5,5,3,2,2,1,22.5
10,No,Not a visible minority,"Single, never married",3,4,5,6,1,2,0,19.8
9,No,Not a visible minority,Living common-law,3,4,5,4,2,0,1,42.6
8,No,Not a visible minority,"Single, never married",6,4,3,1,1,2,0,23.9
10,No,Not a visible minority,Living common-law,6,4,4,2,2,0,0,31.8
8,No,Not a visible minority,Married,7,4,5,6,6,0,1,49.8
8,No,Not a visible minority,"Single, never married",3,5,5,1,1,1,1,48.8
9,No,Not a visible minority,Divorced,2,4,4,6,4,0,1,47.3
8,No,Visible minority,"Single, never married",2,1,1,1,1,0,0,47.1
9,No,Not a visible minority,Living common-law,2,4,4,3,2,2,0,27.7
9,No,Visible minority,"Single, never married",3,1,5,3,3,0,1,42.8
10,No,Visible minority,"Single, never married",2,4,5,2,1,2,0,19.5
7,No,Not a visible minority,Living common-law,4,4,4,6,3,0,1,33.1
10,No,Not a visible minority,"Single, never married",2,3,5,3,3,0,1,44.4
8,No,Not a visible minority,"Single, never married",2,4,3,1,1,4,0,20.8
8,No,Not a visible minority,Separated,3,4,5,3,3,0,0,37.6
8,No,Not a visible minority,"Single, never married",3,1,1,3,3,0,0,38.4
9,No,Not a visible minority,Married,1,4,4,2,1,4,1,32
7,No,Not a visible minority,Married,2,3,3,6,5,0,1,44.9
10,No,Not a visible minority,Living common-law,4,4,5,4,2,0,0,39.4
2,No,Not a visible minority,"Single, never married",2,4,3,3,3,0,0,44
8,No,Not a visible minority,Living common-law,4,3,5,3,2,0,0,48
8,No,Not a visible minority,"Single, never married",2,4,4,4,1,2,0,18.9
7,No,Not a visible minority,Married,2,4,4,5,5,0,1,38.3
6,No,Not a visible minority,Married,3,4,3,6,5,0,0,33.8
7,No,Not a visible minority,Married,2,4,3,2,1,0,0,33.1
8,No,Not a visible minority,"Single, never married",1,5,5,3,1,0,0,15.2
9,No,Not a visible minority,"Single, never married",1,4,4,6,1,2,0,17.3
7,No,Visible minority,"Single, never married",2,1,1,1,1,0,1,20.8
8,No,Not a visible minority,Married,3,5,5,6,6,0,1,47.3
10,No,Not a visible minority,Married,2,4,4,6,2,0,0,44
9,No,Not a visible minority,"Single, never married",3,4,3,3,3,0,0,43.6
8,No,Not a visible minority,"Single, never married",3,4,4,2,2,0,0,42.2
8,No,Not a visible minority,"Single, never married",2,4,5,2,2,0,1,25.3
5,No,Not a visible minority,Married,2,3,3,4,1,4,0,45.2
8,No,Not a visible minority,Living common-law,3,4,3,3,2,0,0,45.7
8,No,Not a visible minority,Living common-law,3,3,4,3,2,0,0,41.2
10,No,Not a visible minority,"Single, never married",6,5,5,5,5,2,1,27.1
9,No,Not a visible minority,"Single, never married",4,5,4,4,4,2,1,26.1
5,No,Not a visible minority,Married,2,1,5,3,1,0,1,56
7,No,Not a visible minority,Living common-law,3,3,4,4,3,1,0,34.7
9,No,Not a visible minority,Living common-law,7,5,5,5,3,0,0,34.1
9,No,Not a visible minority,Living common-law,3,4,5,6,6,0,1,37.3
7,No,Not a visible minority,Married,6,3,3,6,6,0,1,44.7
8,No,Not a visible minority,Married,3,3,3,4,3,0,1,66.3
9,No,Not a visible minority,Living common-law,3,5,4,5,3,0,0,32.9
10,No,Not a visible minority,Married,6,5,5,6,5,0,1,49.6
8,No,Not a visible minority,"Single, never married",1,3,3,1,1,0,1,25.3
10,No,Not a visible minority,"Single, never married",6,3,3,3,3,1,1,31.2
10,No,Not a visible minority,Living common-law,2,5,5,3,1,0,1,29.2
8,No,Not a visible minority,Divorced,3,3,4,3,3,0,1,36.5
7,No,Not a visible minority,"Single, never married",3,4,1,3,3,0,1,43.9
9,No,Not a visible minority,"Single, never married",7,5,4,2,1,2,1,26.4
6,No,Not a visible minority,Married,6,4,3,6,2,2,0,32.4
10,No,Not a visible minority,Married,3,5,5,6,6,0,0,36.2
4,No,Not a visible minority,Divorced,2,3,4,1,1,0,1,41.2
10,No,Not a visible minority,Married,6,5,4,6,4,0,0,33.8
8,No,Not a visible minority,"Single, never married",2,3,4,6,1,2,1,19.5
8,No,Not a visible minority,"Single, never married",1,4,4,5,1,1,1,18.3
10,Yes,Not a visible minority,Married,1,1,5,1,1,0,1,53.4
6,No,Not a visible minority,"Single, never married",6,4,4,4,4,0,1,38.2
7,No,Visible minority,Married,6,5,3,5,4,0,0,42.1
10,No,Not a visible minority,"Single, never married",1,5,5,2,2,0,1,54
7,Yes,Not a visible minority,"Single, never married",1,3,2,3,1,0,0,18.6
7,No,Not a visible minority,"Single, never married",1,5,4,5,1,2,0,16.9
9,No,Visible minority,"Single, never married",6,4,5,3,3,2,0,43.8
8,No,Not a visible minority,"Single, never married",6,5,3,6,1,2,1,23.8
9,No,Not a visible minority,"Single, never married",6,5,5,3,3,0,0,33.9
5,No,Not a visible minority,"Single, never married",7,4,4,1,1,2,0,41.1
8,No,Not a visible minority,Divorced,6,4,4,3,3,0,1,49.5
8,No,Not a visible minority,Living common-law,2,4,4,3,2,2,0,33.1
8,No,Visible minority,"Single, never married",6,3,3,2,2,3,1,31.6
8,No,Not a visible minority,Divorced,6,4,4,5,5,0,0,40
8,No,Not a visible minority,Married,2,4,4,4,3,0,0,46.3
7,No,Not a visible minority,Married,6,4,5,6,3,0,0,32.9
7,No,Not a visible minority,Married,3,4,1,4,3,0,0,39.2
8,No,Not a visible minority,Separated,1,4,4,2,2,2,1,33.1
8,No,Not a visible minority,"Single, never married",3,2,5,2,2,0,0,46.5
7,No,Visible minority,Living common-law,6,5,4,3,3,3,0,26.8
10,No,Not a visible minority,Married,6,5,5,6,3,0,0,30.6
10,No,Not a visible minority,Married,2,5,5,2,2,0,1,47.8
6,No,Not a visible minority,Married,6,3,3,6,3,0,0,43.8
10,No,Not a visible minority,Living common-law,4,5,5,3,3,0,0,31.4
10,No,Not a visible minority,Living common-law,7,4,4,6,6,0,0,47.1
8,No,Not a visible minority,"Single, never married",2,3,3,3,1,2,1,22.4
10,No,Not a visible minority,Living common-law,6,5,5,2,1,2,0,25.1
7,No,Not a visible minority,"Single, never married",4,3,3,4,2,2,1,20.4
7,No,Not a visible minority,"Single, never married",3,4,4,3,3,2,1,38.3
10,No,Not a visible minority,Married,6,5,5,6,2,0,1,55.9
10,No,Not a visible minority,"Single, never married",1,5,5,6,1,3,0,17.1
7,No,Not a visible minority,"Single, never married",6,3,3,6,1,2,1,24.9
6,No,Not a visible minority,Separated,6,3,3,3,3,2,1,36.7
7,No,Not a visible minority,"Single, never married",2,4,1,6,1,2,1,24.8
7,No,Not a visible minority,Married,3,1,3,4,3,0,1,39.7
10,No,Not a visible minority,Married,2,3,4,3,1,0,1,47.9
8,No,Not a visible minority,Married,2,4,4,6,4,0,1,51.1
8,No,Not a visible minority,Married,3,4,4,6,3,0,1,42.9
7,No,Not a visible minority,"Single, never married",6,5,5,2,2,0,1,47.8
6,No,Not a visible minority,Married,3,1,1,6,3,0,0,44.1
7,No,Not a visible minority,Married,3,4,3,5,5,0,0,35.6
2,No,Not a visible minority,"Single, never married",6,1,3,2,1,0,0,45.8
9,No,Not a visible minority,Married,2,5,5,4,2,2,0,25.6
8,No,Not a visible minority,"Single, never married",3,4,3,2,2,2,1,28.3
7,No,Not a visible minority,"Single, never married",2,3,5,1,1,0,1,39.7
8,No,Not a visible minority,Married,3,5,4,6,3,0,0,49.1
6,No,Not a visible minority,Living common-law,6,4,3,2,2,4,0,35.9
10,No,Not a visible minority,"Single, never married",1,5,5,6,1,2,0,16.6
9,No,Not a visible minority,Living common-law,6,4,4,6,5,2,1,25.5
10,No,Not a visible minority,Married,3,5,5,6,3,0,0,47.6
8,No,Not a visible minority,Married,6,4,4,5,3,0,0,36.3
8,No,Not a visible minority,"Single, never married",6,5,4,2,2,2,0,31.8
7,No,Not a visible minority,"Single, never married",2,3,2,6,1,2,0,18.2
9,No,Not a visible minority,Married,3,5,5,6,3,0,1,47.1
10,Don't know,Not a visible minority,Married,3,5,4,5,2,0,1,45.8
10,No,Not a visible minority,Living common-law,3,5,3,2,2,2,0,30.9
6,No,Not a visible minority,Married,4,4,4,4,2,3,1,29.4
7,No,Not a visible minority,Living common-law,6,5,3,6,5,0,0,45.2
9,No,Not a visible minority,Married,4,3,4,6,6,0,1,48.3
5,No,Not a visible minority,Married,3,3,3,3,2,0,0,44.5
4,No,Not a visible minority,Married,3,4,4,6,1,0,0,45.7
6,No,Not a visible minority,"Single, never married",7,5,4,4,4,0,0,49.1
7,No,Not a visible minority,Married,3,4,4,2,1,0,0,30.2
9,Yes,Not a visible minority,Married,4,4,4,6,5,0,0,40.3
7,No,Not a visible minority,Married,6,4,3,6,3,0,0,32.8
7,No,Not a visible minority,"Single, never married",6,4,1,6,3,2,0,26.5
9,Yes,Not a visible minority,Married,6,3,3,6,4,2,1,39.5
9,Yes,Not a visible minority,"Single, never married",6,4,4,6,1,2,0,26.4
7,Yes,Not a visible minority,Married,4,3,1,4,3,0,1,45.7
6,No,Visible minority,"Single, never married",6,3,4,3,3,1,0,22.8
8,No,Not a visible minority,Married,7,4,4,5,5,0,1,44.3
5,No,Not a visible minority,Living common-law,1,1,3,1,1,0,0,41.4
7,No,Not a visible minority,"Single, never married",4,5,5,2,2,0,1,32.3
7,No,Not a visible minority,Married,3,4,3,6,6,0,1,54.1
7,No,Not a visible minority,"Single, never married",6,4,4,3,3,0,0,28.2
10,No,Not a visible minority,Married,2,5,4,4,2,0,1,50.3
10,No,Not a visible minority,"Single, never married",1,5,4,1,1,0,1,46.3
8,No,Not a visible minority,Living common-law,2,5,4,6,4,0,1,50.3
9,No,Not a visible minority,Living common-law,6,5,5,6,2,2,1,27.4
9,No,Visible minority,"Single, never married",5,5,5,2,1,3,0,25.2
9,No,Not a visible minority,"Single, never married",4,5,5,4,4,1,1,29.8
10,No,Not a visible minority,Married,1,5,5,5,4,0,1,40.3
6,No,Not a visible minority,"Single, never married",6,4,3,2,2,0,1,41.7
9,No,Not a visible minority,Married,3,5,1,3,2,0,0,37.1
7,No,Not a visible minority,Married,6,4,1,6,3,0,1,30.9
7,No,Not a visible minority,Divorced,3,5,5,2,2,0,0,49.3
9,No,Not a visible minority,Married,1,4,5,3,1,0,0,49.7
10,No,Not a visible minority,Separated,3,4,4,3,3,2,0,32.8
9,No,Not a visible minority,"Single, never married",3,5,5,5,5,0,0,47
10,No,Not a visible minority,Married,6,3,4,6,4,0,0,42.1
4,No,Visible minority,"Single, never married",1,5,1,6,1,2,0,15.5
9,No,Not a visible minority,Married,6,4,5,2,1,0,0,47.2
7,No,Not a visible minority,Married,2,3,4,3,2,0,1,34.3
10,No,Not a visible minority,Married,2,5,5,3,2,0,1,33.1
9,No,Not a visible minority,Married,2,4,3,5,2,0,1,30.2
8,No,Not a visible minority,"Single, never married",2,4,5,6,1,3,1,20.5
7,No,Not a visible minority,Married,3,4,4,4,2,0,0,39.8
8,No,Not a visible minority,Living common-law,6,4,4,6,4,0,1,40.9
7,No,Not a visible minority,"Single, never married",6,5,5,3,3,2,0,27.8
10,No,Not a visible minority,Married,5,4,5,5,2,2,1,34.5
8,No,Not a visible minority,Living common-law,4,3,3,3,2,0,0,26.6
8,No,Not a visible minority,Married,3,5,4,6,3,0,0,40.8
8,No,Not a visible minority,Married,3,5,4,5,2,2,0,31.7
8,No,Not a visible minority,Separated,2,4,3,1,1,0,0,40
8,No,Not a visible minority,"Single, never married",6,5,4,5,5,2,1,26.1
4,No,Not a visible minority,Divorced,1,3,2,1,1,0,1,42.8
10,No,Not a visible minority,"Single, never married",2,3,5,1,1,2,1,19.3
7,No,Not a visible minority,"Single, never married",7,4,3,3,3,2,0,32.9
8,No,Not a visible minority,Living common-law,1,3,4,3,2,0,0,42.7
8,No,Not a visible minority,Married,6,3,3,6,5,0,1,46.4
7,No,Not a visible minority,Married,2,4,5,2,2,0,0,34.9
8,No,Not a visible minority,Married,3,3,3,3,1,0,0,32.3
7,Yes,Not a visible minority,Married,6,4,4,2,2,2,0,36.2
8,No,Not a visible minority,"Single, never married",6,3,3,4,4,2,1,27
9,No,Not a visible minority,Living common-law,7,5,5,3,1,3,0,30.8
7,No,Not a visible minority,"Single, never married",3,4,3,4,2,1,1,26.4
4,No,Not a visible minority,"Single, never married",2,3,1,3,2,2,0,24
9,No,Visible minority,Living common-law,6,4,4,6,5,0,0,41.4
9,No,Not a visible minority,Married,7,5,5,3,1,0,1,38.2
9,No,Not a visible minority,"Single, never married",2,5,5,1,1,0,1,49.1
10,No,Not a visible minority,"Single, never married",5,4,4,5,2,2,0,24.9
10,No,Visible minority,"Single, never married",3,5,5,5,2,2,1,31.4
7,No,Not a visible minority,Divorced,6,4,3,2,2,0,0,39.9
5,No,Not a visible minority,"Single, never married",6,4,3,6,5,0,1,34.9
10,No,Not a visible minority,"Single, never married",3,5,4,3,3,2,0,23.4
7,No,Not a visible minority,"Single, never married",2,3,3,1,1,0,0,46.2
10,No,Not a visible minority,Living common-law,7,5,5,4,4,0,0,33.2
7,No,Not a visible minority,"Single, never married",1,4,4,2,2,0,1,38.3
7,Yes,Not a visible minority,"Single, never married",2,4,4,6,2,2,1,25.1
9,No,Not a visible minority,Living common-law,7,5,5,6,5,0,1,45.6
7,No,Not a visible minority,Married,6,5,3,5,3,0,1,34.1
10,No,Not a visible minority,Living common-law,6,5,5,4,3,2,0,28.2
7,No,Not a visible minority,"Single, never married",3,5,4,3,3,2,1,32.4
8,No,Not a visible minority,Married,2,4,4,6,2,0,0,44.5
8,No,Visible minority,Married,3,3,3,6,3,0,0,46.5
7,No,Not a visible minority,Married,3,4,1,4,2,0,1,40.2
8,No,Not a visible minority,"Single, never married",1,4,4,6,1,2,1,17
9,No,Not a visible minority,Living common-law,5,4,4,3,1,2,0,27.5
7,Yes,Not a visible minority,"Single, never married",3,3,4,2,2,2,0,24.9
7,No,Not a visible minority,Living common-law,1,1,5,2,1,0,0,31.8
10,No,Not a visible minority,"Single, never married",3,3,3,5,2,0,0,49.5
8,No,Not a visible minority,Married,1,2,1,5,1,0,0,35.2
9,No,Not a visible minority,"Single, never married",1,4,5,6,1,4,1,15
7,No,Not a visible minority,"Single, never married",1,3,1,6,1,2,1,17.8
8,No,Not a visible minority,Living common-law,7,3,3,6,6,0,1,40.8
5,No,Not a visible minority,Widowed,3,1,2,3,3,2,0,32.8
6,No,Not a visible minority,"Single, never married",2,3,5,2,2,0,0,48.3
7,No,Visible minority,Divorced,6,5,4,3,3,0,0,43.3
10,No,Not a visible minority,Living common-law,6,5,5,5,3,1,0,30.5
8,No,Not a visible minority,Living common-law,6,4,5,5,4,0,1,50.4
8,No,Not a visible minority,Married,5,5,5,3,2,0,1,46.3
8,No,Visible minority,"Single, never married",3,4,4,3,3,0,1,40.7
10,No,Visible minority,"Single, never married",1,4,5,1,1,2,1,15.8
5,No,Not a visible minority,"Single, never married",1,3,3,6,1,0,0,21.4
8,No,Not a visible minority,Married,3,5,5,2,2,0,1,54.6
5,No,Not a visible minority,Living common-law,2,1,2,4,1,3,1,20.7
8,No,Not a visible minority,Married,6,4,4,6,4,0,0,42.4
8,No,Not a visible minority,"Single, never married",1,4,3,4,1,3,1,15.8
10,No,Not a visible minority,Married,3,5,4,6,5,0,0,49.4
7,No,Not a visible minority,Married,3,3,3,6,3,0,1,39.9
10,No,Not a visible minority,"Single, never married",2,5,3,1,1,0,1,46
7,No,Not a visible minority,"Single, never married",2,1,5,3,1,0,1,37.3
8,No,Not a visible minority,Married,3,3,3,6,3,0,0,38.3
8,No,Not a visible minority,Married,4,4,2,6,4,3,1,30.5
5,No,Not a visible minority,"Single, never married",1,1,3,3,1,2,1,17
8,Yes,Not a visible minority,"Single, never married",3,4,4,2,1,0,0,44.8
8,No,Not a visible minority,"Single, never married",1,3,3,3,1,2,1,16
7,No,Not a visible minority,"Single, never married",3,4,1,2,2,2,1,23.5
9,No,Not a visible minority,"Single, never married",1,3,5,4,2,0,1,45
8,No,Not a visible minority,Living common-law,3,3,3,4,2,0,0,41.8
8,No,Not a visible minority,"Single, never married",3,3,1,5,1,3,0,29.7
9,No,Not a visible minority,Married,2,4,4,6,4,0,1,35.6
7,No,Not a visible minority,"Single, never married",2,3,3,2,2,3,1,34.4
10,No,Visible minority,"Single, never married",2,5,5,1,1,3,0,26.3
10,No,Not a visible minority,Married,1,4,4,3,2,3,1,24.5
9,No,Not a visible minority,Married,3,3,3,5,3,0,0,42.4
6,No,Not a visible minority,"Single, never married",1,3,3,2,1,2,0,17.1
7,No,Visible minority,"Single, never married",3,3,3,3,1,0,1,24.3
7,No,Don't know,"Single, never married",4,4,4,1,1,0,1,50.1
6,No,Not a visible minority,Living common-law,3,3,3,2,2,0,1,40.8
9,No,Not a visible minority,Married,2,3,4,5,3,0,1,51.7
8,No,Not a visible minority,Divorced,7,3,3,5,5,2,0,37.7
5,No,Not a visible minority,Living common-law,6,5,5,6,4,0,1,40.9
7,No,Not a visible minority,Married,1,4,4,4,4,0,1,46.2
5,Yes,Not a visible minority,"Single, never married",3,3,3,2,2,0,0,27.4
7,No,Not a visible minority,Living common-law,4,3,3,3,1,0,0,32.5
8,No,Not a visible minority,Living common-law,6,4,3,3,3,0,0,24.5
9,No,Not a visible minority,"Single, never married",3,4,4,5,5,0,1,30.9
8,Yes,Not a visible minority,Married,2,1,4,3,1,3,1,37.7
8,No,Not a visible minority,Living common-law,4,3,3,4,3,2,1,31.3
9,No,Not a visible minority,"Single, never married",7,5,5,6,6,0,1,45.5
10,No,Visible minority,Married,6,3,4,6,3,0,0,39.8
7,No,Not a visible minority,"Single, never married",7,5,3,2,2,2,0,32.6
10,No,Not a visible minority,Married,2,5,5,4,2,3,1,23.3
10,No,Not a visible minority,Married,2,5,5,3,2,0,0,49.2
10,No,Not a visible minority,Living common-law,4,4,4,5,2,0,0,41.8
7,No,Not a visible minority,Married,2,3,3,5,3,0,0,32.9
8,No,Not a visible minority,Married,6,3,4,3,2,2,0,31.3
9,No,Not a visible minority,"Single, never married",6,4,4,1,1,2,0,23.1
7,No,Not a visible minority,Living common-law,3,3,3,6,2,0,0,47.2
8,No,Not a visible minority,Married,3,3,4,6,2,0,0,46.9
10,No,Not a visible minority,"Single, never married",1,5,5,1,1,2,0,15.3
10,Yes,Not a visible minority,Married,1,3,5,6,5,0,1,37.4
8,No,Not a visible minority,Married,2,4,4,6,4,0,1,52.8
7,No,Not a visible minority,Married,6,4,3,4,3,0,0,35
9,No,Not a visible minority,"Single, never married",6,5,4,4,4,0,0,43.6
8,Yes,Not a visible minority,"Single, never married",2,4,5,2,2,0,1,37.1
8,No,Not a visible minority,Married,6,4,4,6,3,0,1,42.8
10,No,Not a visible minority,Married,1,3,5,4,4,0,1,35.3
8,No,Not a visible minority,"Single, never married",3,4,5,5,2,2,1,22.4
8,No,Not a visible minority,"Single, never married",2,3,3,2,1,2,0,19.1
10,No,Not a visible minority,Married,3,4,4,5,1,0,0,46
10,No,Visible minority,Married,6,4,4,3,1,0,0,44.9
8,No,Not a visible minority,Married,3,4,3,5,2,0,0,46.2
7,No,Not a visible minority,"Single, never married",6,1,1,6,1,3,0,29.3
7,No,Not a visible minority,Married,6,3,3,6,4,0,0,36
7,No,Not a visible minority,"Single, never married",1,3,3,2,2,2,1,22.9
7,No,Visible minority,Married,2,3,4,6,3,0,1,35.2
9,No,Not a visible minority,Living common-law,3,4,4,4,3,2,1,37.4
7,No,Not a visible minority,Married,3,3,1,4,2,0,0,40.6
9,No,Not a visible minority,"Single, never married",4,4,4,3,1,1,0,25
3,No,Not a visible minority,"Single, never married",7,2,1,3,3,0,1,56.5
7,No,Not a visible minority,"Single, never married",4,4,4,2,2,2,1,30.5
10,No,Not a visible minority,Divorced,3,5,5,4,4,2,0,38.4
2,No,Not a visible minority,"Single, never married",6,4,1,1,1,0,1,36.8
10,No,Not a visible minority,Living common-law,6,5,5,6,6,0,1,56.2
9,No,Visible minority,"Single, never married",6,5,5,2,2,2,1,28.1
7,No,Not a visible minority,"Single, never married",2,4,4,6,2,2,0,22.8
8,No,Not a visible minority,"Single, never married",2,5,4,6,1,0,0,20.8
4,No,Not a visible minority,Living common-law,3,1,2,4,2,2,1,28.8
7,No,Not a visible minority,Separated,6,4,3,1,1,0,0,39.7
8,No,Not a visible minority,Married,4,4,4,3,2,0,1,37.8
9,No,Not a visible minority,"Single, never married",2,4,4,6,1,3,0,18.5
10,Yes,Not a visible minority,Living common-law,3,4,5,4,3,0,0,37.1
8,No,Not a visible minority,Married,3,4,4,6,4,0,0,40
9,No,Not a visible minority,Married,2,4,4,5,2,0,0,40.3
7,No,Not a visible minority,"Single, never married",2,3,4,3,3,0,1,38.4
6,No,Not a visible minority,"Single, never married",1,4,4,3,1,2,0,16.6
8,No,Not a visible minority,"Single, never married",1,4,4,6,1,1,1,16.1
9,No,Not a visible minority,Separated,3,3,3,2,2,0,0,43.3
5,No,Not a visible minority,"Single, never married",6,4,4,3,3,0,0,39.1
7,No,Visible minority,Married,6,3,5,4,2,0,0,40.8
9,No,Not a visible minority,"Single, never married",1,3,4,1,1,3,1,16
9,No,Not a visible minority,Married,2,5,4,3,3,0,1,32.9
10,No,Visible minority,Married,4,3,5,6,2,0,1,45.3
8,No,Not a visible minority,Married,6,5,5,6,6,0,0,41.9
8,No,Not a visible minority,Married,7,3,3,4,4,0,1,68.5
10,No,Not a visible minority,Married,6,4,4,6,2,3,0,29.8
10,No,Not a visible minority,Living common-law,4,5,4,6,6,2,1,26.5
10,No,Not a visible minority,Married,3,4,4,6,4,0,0,41.7
8,No,Not a visible minority,Married,3,4,4,6,2,0,0,49.2
9,No,Not a visible minority,"Single, never married",1,4,4,1,1,2,1,17.8
9,No,Not a visible minority,Living common-law,2,4,4,4,2,0,0,48.8
5,No,Not a visible minority,"Single, never married",3,3,3,3,3,0,0,35.4
4,No,Not a visible minority,"Single, never married",1,2,2,2,2,3,0,21.3
7,No,Not a visible minority,Married,1,1,3,2,1,0,1,28.3
10,No,Not a visible minority,Married,3,3,5,5,3,4,1,36.8
9,No,Not a visible minority,Living common-law,3,5,4,1,1,0,0,35.9
10,No,Not a visible minority,Living common-law,4,4,5,6,4,2,1,27
8,No,Not a visible minority,Living common-law,7,3,3,6,3,0,0,44.7
5,No,Not a visible minority,"Single, never married",7,4,3,6,6,2,1,41.4
7,No,Not a visible minority,"Single, never married",3,4,3,6,1,2,0,20.4
10,No,Not a visible minority,Married,6,3,3,5,3,0,0,42.3
9,No,Not a visible minority,"Single, never married",2,3,4,2,2,1,1,35.5
5,No,Not a visible minority,"Single, never married",3,3,3,1,1,0,1,48.5
9,No,Not a visible minority,Married,5,4,4,4,4,0,1,39.3
7,Yes,Not a visible minority,"Single, never married",3,1,4,2,2,0,0,44.6
7,No,Visible minority,"Single, never married",6,4,3,6,1,2,1,27.3
5,No,Not a visible minority,Married,6,3,5,2,2,0,1,46.5
5,No,Not a visible minority,"Single, never married",6,3,1,3,3,2,0,31.2
10,No,Not a visible minority,"Single, never married",3,3,5,6,6,0,1,31.3
5,No,Not a visible minority,"Single, never married",3,3,1,2,1,0,1,48.3
8,Yes,Not a visible minority,Married,4,5,3,6,3,0,1,32.7
8,No,Visible minority,"Single, never married",2,5,3,1,1,3,1,19.5
10,No,Not a visible minority,Married,2,4,4,6,2,0,0,31.3
8,No,Not a visible minority,Living common-law,2,3,3,5,1,0,0,43
10,No,Not a visible minority,Married,3,3,3,6,4,0,1,60.3
8,No,Not a visible minority,"Single, never married",1,3,3,1,1,2,1,16.8
7,No,Not a visible minority,Married,2,3,2,1,1,0,0,38.2
8,No,Not a visible minority,Living common-law,7,5,5,6,3,0,0,44.4
9,No,Not a visible minority,"Single, never married",2,5,5,6,1,2,1,23.2
9,No,Visible minority,"Single, never married",7,4,4,5,5,1,0,42.6
7,No,Not a visible minority,"Single, never married",6,3,1,2,2,0,0,33.9
8,No,Not a visible minority,Married,2,3,4,4,2,0,1,48.3
9,No,Not a visible minority,Separated,2,4,4,3,3,0,0,32.8
9,No,Not a visible minority,Married,3,4,5,6,3,0,1,48.7
10,No,Not a visible minority,"Single, never married",1,4,4,5,1,2,1,16.8
10,No,Not a visible minority,Living common-law,1,5,5,4,2,0,1,36.3
8,No,Not a visible minority,Separated,4,5,3,1,1,2,1,36.5
9,No,Not a visible minority,Married,6,4,4,6,1,0,0,35.2
7,No,Not a visible minority,Married,6,4,3,5,4,0,0,38
10,No,Not a visible minority,"Single, never married",6,4,5,4,4,0,0,48.3
9,No,Not a visible minority,"Single, never married",2,4,4,1,1,0,0,19.5
8,No,Not a visible minority,Divorced,6,4,3,4,4,0,0,40.4
8,No,Visible minority,"Single, never married",1,4,4,6,1,2,1,17.5
9,No,Not a visible minority,"Single, never married",1,1,3,2,1,2,1,17.1
8,No,Not a visible minority,Married,7,5,3,5,3,2,1,30.1
8,No,Not a visible minority,Living common-law,2,3,3,5,2,0,1,59
8,No,Not a visible minority,Living common-law,2,3,3,2,1,0,0,29.3
8,Yes,Not a visible minority,Living common-law,2,3,3,3,2,0,0,38.4
9,No,Not a visible minority,Married,6,4,4,5,3,2,1,27.2
7,No,Not a visible minority,Married,6,5,5,6,1,0,0,44.8
9,No,Not a visible minority,Living common-law,7,5,5,2,2,0,0,39.1
7,No,Not a visible minority,Living common-law,3,4,4,6,4,1,1,32.3
4,Yes,Not a visible minority,"Single, never married",3,5,3,4,2,0,1,36.2
8,No,Not a visible minority,Married,6,4,5,4,2,0,0,27.8
9,No,Not a visible minority,Married,6,4,4,4,1,0,0,38.2
8,No,Not a visible minority,"Single, never married",7,4,5,1,1,2,1,47.5
8,No,Visible minority,"Single, never married",1,4,5,6,1,2,1,15.2
7,No,Not a visible minority,"Single, never married",3,3,1,1,1,3,0,30.5
